VALUE,CLASS_NAME,RED,GREEN,BLUE,OPACITY
0,Background,0.0000,0.0000,0.0000,0.0000
1,Corn,1.0000,0.8275,0.0000,1.0000
2,Cotton,1.0000,0.1490,0.1490,1.0000
3,Rice,0.0000,0.6588,0.8980,1.0000
4,Sorghum,1.0000,0.6196,0.0471,1.0000
5,Soybeans,0.1490,0.4392,0.0000,1.0000
6,Sunflower,1.0000,1.0000,0.0000,1.0000
7,,0.0000,0.0000,0.0000,1.0000
8,,0.0000,0.0000,0.0000,1.0000
9,,0.0000,0.0000,0.0000,1.0000
10,Peanuts,0.4392,0.6471,0.0000,1.0000
11,Tobacco,0.0000,0.6863,0.2980,1.0000
12,Sweet Corn,0.8667,0.6471,0.0471,1.0000
13,Pop or Orn Corn,0.8667,0.6471,0.0471,1.0000
14,Mint,0.4980,0.8275,1.0000,1.0000
15,,0.0000,0.0000,0.0000,1.0000
16,,0.0000,0.0000,0.0000,1.0000
17,,0.0000,0.0000,0.0000,1.0000
18,,0.0000,0.0000,0.0000,1.0000
19,,0.0000,0.0000,0.0000,1.0000
20,,0.0000,0.0000,0.0000,1.0000
21,Barley,0.8863,0.0000,0.4863,1.0000
22,Durum Wheat,0.5373,0.3882,0.3294,1.0000
23,Spring Wheat,0.8471,0.7098,0.4196,1.0000
24,Winter Wheat,0.6471,0.4392,0.0000,1.0000
25,Other Small Grains,0.8392,0.6196,0.7373,1.0000
26,Dbl Crop WinWht/Soybeans,0.4392,0.4392,0.0000,1.0000
27,Rye,0.6784,0.0000,0.4863,1.0000
28,Oats,0.6275,0.3490,0.5373,1.0000
29,Millet,0.4392,0.0000,0.2863,1.0000
30,Speltz,0.8392,0.6196,0.7373,1.0000
31,Canola,0.8196,1.0000,0.0000,1.0000
32,Flaxseed,0.4980,0.6000,1.0000,1.0000
33,Safflower,0.8392,0.8392,0.0000,1.0000
34,Rape Seed,0.8196,1.0000,0.0000,1.0000
35,Mustard,0.0000,0.6863,0.2980,1.0000
36,Alfalfa,1.0000,0.6471,0.8863,1.0000
37,Other Hay/Non Alfalfa,0.6471,0.9490,0.5490,1.0000
38,Camelina,0.0000,0.6863,0.2980,1.0000
39,Buckwheat,0.8392,0.6196,0.7373,1.0000
40,,0.0000,0.0000,0.0000,1.0000
41,Sugarbeets,0.6588,0.0000,0.8980,1.0000
42,Dry Beans,0.6471,0.0000,0.0000,1.0000
43,Potatoes,0.4392,0.1490,0.0000,1.0000
44,Other Crops,0.0000,0.6863,0.2980,1.0000
45,Sugarcane,0.6980,0.4980,1.0000,1.0000
46,Sweet Potatoes,0.4392,0.1490,0.0000,1.0000
47,Misc Vegs & Fruits,1.0000,0.4000,0.4000,1.0000
48,Watermelons,1.0000,0.4000,0.4000,1.0000
49,Onions,1.0000,0.8000,0.4000,1.0000
50,Cucumbers,1.0000,0.4000,0.4000,1.0000
51,Chick Peas,0.0000,0.6863,0.2980,1.0000
52,Lentils,0.0000,0.8667,0.6863,1.0000
53,Peas,0.3294,1.0000,0.0000,1.0000
54,Tomatoes,0.9490,0.6392,0.4667,1.0000
55,Caneberries,1.0000,0.4000,0.4000,1.0000
56,Hops,0.0000,0.6863,0.2980,1.0000
57,Herbs,0.4980,0.8275,1.0000,1.0000
58,Clover/Wildflowers,0.9098,0.7490,1.0000,1.0000
59,Sod/Grass Seed,0.6863,1.0000,0.8667,1.0000
60,Switchgrass,0.0000,0.6863,0.2980,1.0000
61,Fallow/Idle Cropland,0.7490,0.7490,0.4667,1.0000
62,,0.0000,0.0000,0.0000,1.0000
63,Forest,0.5765,0.8000,0.5765,1.0000
64,Shrubland,0.7765,0.8392,0.6196,1.0000
65,Barren,0.8000,0.7490,0.6392,1.0000
66,Cherries,1.0000,0.0000,1.0000,1.0000
67,Peaches,1.0000,0.5569,0.6667,1.0000
68,Apples,0.7294,0.0000,0.3098,1.0000
69,Grapes,0.4392,0.2667,0.5373,1.0000
70,Christmas Trees,0.0000,0.4667,0.4667,1.0000
71,Other Tree Crops,0.6980,0.6078,0.4392,1.0000
72,Citrus,1.0000,1.0000,0.4980,1.0000
73,,0.0000,0.0000,0.0000,1.0000
74,Pecans,0.7098,0.4392,0.3569,1.0000
75,Almonds,0.0000,0.6471,0.5098,1.0000
76,Walnuts,0.9176,0.8392,0.6863,1.0000
77,Pears,0.6980,0.6078,0.4392,1.0000
78,,0.0000,0.0000,0.0000,1.0000
79,,0.0000,0.0000,0.0000,1.0000
80,,0.0000,0.0000,0.0000,1.0000
81,Clouds/No Data,0.9490,0.9490,0.9490,1.0000
82,Developed,0.6078,0.6078,0.6078,1.0000
83,Water,0.2980,0.4392,0.6392,1.0000
84,,0.0000,0.0000,0.0000,1.0000
85,,0.0000,0.0000,0.0000,1.0000
86,,0.0000,0.0000,0.0000,1.0000
87,Wetlands,0.4980,0.6980,0.6980,1.0000
88,Nonag/Undefined,0.9098,1.0000,0.7490,1.0000
89,,0.0000,0.0000,0.0000,1.0000
90,,0.0000,0.0000,0.0000,1.0000
91,,0.0000,0.0000,0.0000,1.0000
92,Aquaculture,0.0000,1.0000,1.0000,1.0000
93,,0.0000,0.0000,0.0000,1.0000
108,,0.0000,0.0000,0.0000,1.0000
109,,0.0000,0.0000,0.0000,1.0000
110,,0.0000,0.0000,0.0000,1.0000
111,Open Water,0.2980,0.4392,0.6392,1.0000
112,Perennial Ice/Snow,0.8275,0.8863,0.9765,1.0000
113,,0.0000,0.0000,0.0000,1.0000
114,,0.0000,0.0000,0.0000,1.0000
120,,0.0000,0.0000,0.0000,1.0000
121,Developed/Open Space,0.6078,0.6078,0.6078,1.0000
122,Developed/Low Intensity,0.6078,0.6078,0.6078,1.0000
123,Developed/Med Intensity,0.6078,0.6078,0.6078,1.0000
124,Developed/High Intensity,0.6078,0.6078,0.6078,1.0000
125,,0.0000,0.0000,0.0000,1.0000
129,,0.0000,0.0000,0.0000,1.0000
130,,0.0000,0.0000,0.0000,1.0000
131,Barren,0.8000,0.7490,0.6392,1.0000
132,,0.0000,0.0000,0.0000,1.0000
139,,0.0000,0.0000,0.0000,1.0000
140,,0.0000,0.0000,0.0000,1.0000
141,Deciduous Forest,0.5765,0.8000,0.5765,1.0000
142,Evergreen Forest,0.5765,0.8000,0.5765,1.0000
143,Mixed Forest,0.5765,0.8000,0.5765,1.0000
144,,0.0000,0.0000,0.0000,1.0000
150,,0.0000,0.0000,0.0000,1.0000
151,,0.0000,0.0000,0.0000,1.0000
152,Shrubland,0.7765,0.8392,0.6196,1.0000
153,,0.0000,0.0000,0.0000,1.0000
175,,0.0000,0.0000,0.0000,1.0000
176,Grass/Pasture,0.9098,1.0000,0.7490,1.0000
177,,0.0000,0.0000,0.0000,1.0000
189,,0.0000,0.0000,0.0000,1.0000
190,Woody Wetlands,0.4980,0.6980,0.6980,1.0000
191,,0.0000,0.0000,0.0000,1.0000
192,,0.0000,0.0000,0.0000,1.0000
193,,0.0000,0.0000,0.0000,1.0000
194,,0.0000,0.0000,0.0000,1.0000
195,Herbaceous Wetlands,0.4980,0.6980,0.6980,1.0000
196,,0.0000,0.0000,0.0000,1.0000
204,Pistachios,0.0000,1.0000,0.5490,1.0000
205,Triticale,0.8392,0.6196,0.7373,1.0000
206,Carrots,1.0000,0.4000,0.4000,1.0000
207,Asparagus,1.0000,0.4000,0.4000,1.0000
208,Garlic,1.0000,0.4000,0.4000,1.0000
209,Cantaloupes,1.0000,0.4000,0.4000,1.0000
210,Prunes,1.0000,0.5569,0.6667,1.0000
211,Olives,0.2000,0.2863,0.2000,1.0000
212,Oranges,0.8980,0.4392,0.1490,1.0000
213,Honeydew Melons,1.0000,0.4000,0.4000,1.0000
214,Broccoli,1.0000,0.4000,0.4000,1.0000
215,,0.0000,0.0000,0.0000,1.0000
216,Peppers,1.0000,0.4000,0.4000,1.0000
217,Pomegranates,0.6980,0.6078,0.4392,1.0000
218,Nectarines,1.0000,0.5569,0.6667,1.0000
219,Greens,1.0000,0.4000,0.4000,1.0000
220,Plums,1.0000,0.5569,0.6667,1.0000
221,Strawberries,1.0000,0.4000,0.4000,1.0000
222,Squash,1.0000,0.4000,0.4000,1.0000
223,Apricots,1.0000,0.5569,0.6667,1.0000
224,Vetch,0.0000,0.6863,0.2980,1.0000
225,Dbl Crop WinWht/Corn,1.0000,0.8275,0.0000,1.0000
226,Dbl Crop Oats/Corn,1.0000,0.8275,0.0000,1.0000
227,Lettuce,1.0000,0.4000,0.4000,1.0000
228,,0.0000,0.0000,0.0000,1.0000
229,Pumpkins,1.0000,0.4000,0.4000,1.0000
230,Dbl Crop Lettuce/Durum Wht,0.5373,0.3882,0.3294,1.0000
231,Dbl Crop Lettuce/Cantaloupe,1.0000,0.4000,0.4000,1.0000
232,Dbl Crop Lettuce/Cotton,1.0000,0.1490,0.1490,1.0000
233,Dbl Crop Lettuce/Barley,0.8863,0.0000,0.4863,1.0000
234,Dbl Crop Durum Wht/Sorghum,1.0000,0.6196,0.0471,1.0000
235,Dbl Crop Barley/Sorghum,1.0000,0.6196,0.0471,1.0000
236,Dbl Crop WinWht/Sorghum,0.6471,0.4392,0.0000,1.0000
237,Dbl Crop Barley/Corn,1.0000,0.8275,0.0000,1.0000
238,Dbl Crop WinWht/Cotton,0.6471,0.4392,0.0000,1.0000
239,Dbl Crop Soybeans/Cotton,0.1490,0.4392,0.0000,1.0000
240,Dbl Crop Soybeans/Oats,0.1490,0.4392,0.0000,1.0000
241,Dbl Crop Corn/Soybeans,1.0000,0.8275,0.0000,1.0000
242,Blueberries,0.0000,0.0000,0.6000,1.0000
243,Cabbage,1.0000,0.4000,0.4000,1.0000
244,Cauliflower,1.0000,0.4000,0.4000,1.0000
245,Celery,1.0000,0.4000,0.4000,1.0000
246,Radishes,1.0000,0.4000,0.4000,1.0000
247,Turnips,1.0000,0.4000,0.4000,1.0000
248,Eggplants,1.0000,0.4000,0.4000,1.0000
249,Gourds,1.0000,0.4000,0.4000,1.0000
250,Cranberries,1.0000,0.4000,0.4000,1.0000
251,,1.0000,0.8275,0.0000,1.0000
252,,0.1490,0.4392,0.0000,1.0000
253,,0.6471,0.4392,0.0000,1.0000
254,Dbl Crop Barley/Soybeans,0.1490,0.4392,0.0000,1.0000
